Namespace(alpha=1.0, beta=0.2, cl_batch_size=0, dataset='cora', dropedge_rate_1=0.1, dropedge_rate_2=0.1, dropnode_rate_1=0.0, dropnode_rate_2=0.0, dropout=0.5, emb_dim=256, epochs=400, eval_freq=10, gamma=0.0, lr=0.0001, maskfeat_rate_1=0.4, maskfeat_rate_2=0.4, nlayers_enc=3, nlayers_proj=2, ntrials=800, proj_dim=128, sparse=0)
Trial:212 | ACC:81.90
Trial:574 | ACC:81.30
Trial:0 | ACC:81.20
Trial:185 | ACC:81.20
Trial:250 | ACC:81.20
Trial:697 | ACC:81.10
Trial:32 | ACC:81.00
Trial:388 | ACC:81.00
Trial:113 | ACC:80.80
Trial:203 | ACC:80.70
Trial:643 | ACC:80.70
Trial:739 | ACC:80.70
Trial:762 | ACC:80.70
Trial:771 | ACC:80.70
Trial:396 | ACC:80.60
Trial:536 | ACC:80.60
Trial:627 | ACC:80.60
Trial:528 | ACC:80.50
Trial:596 | ACC:80.50
Trial:723 | ACC:80.50
Trial:360 | ACC:80.40
Trial:633 | ACC:80.40
Trial:40 | ACC:80.30
Trial:70 | ACC:80.30
Trial:182 | ACC:80.30
Trial:328 | ACC:80.30
Trial:351 | ACC:80.30
Trial:405 | ACC:80.30
Trial:686 | ACC:80.30
Trial:765 | ACC:80.30
Trial:118 | ACC:80.20
Trial:187 | ACC:80.20
Trial:247 | ACC:80.20
Trial:408 | ACC:80.20
Trial:450 | ACC:80.20
Trial:672 | ACC:80.20
Trial:746 | ACC:80.20
Trial:140 | ACC:80.10
Trial:192 | ACC:80.10
Trial:286 | ACC:80.10
Trial:318 | ACC:80.10
Trial:569 | ACC:80.10
Trial:646 | ACC:80.10
Trial:9 | ACC:80.00
Trial:173 | ACC:80.00
Trial:334 | ACC:80.00
Trial:489 | ACC:80.00
Trial:592 | ACC:80.00
Trial:636 | ACC:80.00
Trial:741 | ACC:80.00
Trial:773 | ACC:80.00
Trial:775 | ACC:80.00
Trial:62 | ACC:79.90
Trial:398 | ACC:79.90
Trial:425 | ACC:79.90
Trial:640 | ACC:79.90
Trial:11 | ACC:79.80
Trial:110 | ACC:79.80
Trial:221 | ACC:79.80
Trial:361 | ACC:79.80
Trial:372 | ACC:79.80
Trial:530 | ACC:79.80
Trial:698 | ACC:79.80
Trial:715 | ACC:79.80
Trial:780 | ACC:79.80
Trial:46 | ACC:79.70
