Namespace(alpha=0.1, beta=0.8, cl_batch_size=0, dataset='cornell', dropedge_rate_1=0.2, dropedge_rate_2=0.2, dropnode_rate_1=0.0, dropnode_rate_2=0.0, dropout=0.5, emb_dim=256, epochs=400, eval_freq=10, gamma=0.1, lr=0.0004, maskfeat_rate_1=0.1, maskfeat_rate_2=0.1, nlayers_enc=2, nlayers_proj=2, ntrials=3000, proj_dim=128, sparse=0)
Trial:2 | ACC:81.08
Trial:102 | ACC:81.08
Trial:2812 | ACC:81.08
Trial:173 | ACC:78.38
Trial:242 | ACC:78.38
Trial:682 | ACC:78.38
Trial:792 | ACC:78.38
Trial:802 | ACC:78.38
Trial:812 | ACC:78.38
Trial:1442 | ACC:78.38
Trial:1472 | ACC:78.38
Trial:1752 | ACC:78.38
Trial:1792 | ACC:78.38
Trial:2032 | ACC:78.38
Trial:2752 | ACC:78.38
Trial:2912 | ACC:78.38
Trial:2934 | ACC:78.38
Trial:222 | ACC:75.68
Trial:282 | ACC:75.68
Trial:372 | ACC:75.68
Trial:482 | ACC:75.68
Trial:612 | ACC:75.68
Trial:632 | ACC:75.68
Trial:670 | ACC:75.68
Trial:772 | ACC:75.68
Trial:872 | ACC:75.68
Trial:882 | ACC:75.68
Trial:922 | ACC:75.68
Trial:1034 | ACC:75.68
Trial:1042 | ACC:75.68
Trial:1062 | ACC:75.68
Trial:1082 | ACC:75.68
Trial:1182 | ACC:75.68
Trial:1482 | ACC:75.68
Trial:1552 | ACC:75.68
Trial:1862 | ACC:75.68
Trial:1872 | ACC:75.68
Trial:1892 | ACC:75.68
Trial:1944 | ACC:75.68
Trial:1972 | ACC:75.68
Trial:2192 | ACC:75.68
Trial:2232 | ACC:75.68
Trial:2292 | ACC:75.68
Trial:2352 | ACC:75.68
Trial:2364 | ACC:75.68
Trial:2372 | ACC:75.68
Trial:2492 | ACC:75.68
Trial:2592 | ACC:75.68
Trial:2622 | ACC:75.68
Trial:2802 | ACC:75.68
Trial:2806 | ACC:75.68
Trial:2852 | ACC:75.68
Trial:2982 | ACC:75.68
Trial:6 | ACC:72.97
Trial:30 | ACC:72.97
Trial:82 | ACC:72.97
Trial:152 | ACC:72.97
Trial:184 | ACC:72.97
Trial:210 | ACC:72.97
Trial:412 | ACC:72.97
Trial:422 | ACC:72.97
Trial:442 | ACC:72.97
Trial:457 | ACC:72.97
Trial:502 | ACC:72.97
Trial:543 | ACC:72.97
Trial:552 | ACC:72.97
Trial:558 | ACC:72.97
Trial:574 | ACC:72.97
Trial:583 | ACC:72.97
Trial:622 | ACC:72.97
Trial:674 | ACC:72.97
Trial:732 | ACC:72.97
Trial:744 | ACC:72.97
Trial:764 | ACC:72.97
Trial:832 | ACC:72.97
Trial:852 | ACC:72.97
Trial:867 | ACC:72.97
Trial:892 | ACC:72.97
Trial:894 | ACC:72.97
Trial:932 | ACC:72.97
Trial:964 | ACC:72.97
Trial:1113 | ACC:72.97
Trial:1122 | ACC:72.97
Trial:1136 | ACC:72.97
Trial:1142 | ACC:72.97
Trial:1152 | ACC:72.97
Trial:1162 | ACC:72.97
Trial:1173 | ACC:72.97
Trial:1194 | ACC:72.97
Trial:1232 | ACC:72.97
Trial:1272 | ACC:72.97
Trial:1312 | ACC:72.97
Trial:1314 | ACC:72.97
Trial:1350 | ACC:72.97
Trial:1382 | ACC:72.97
Trial:1502 | ACC:72.97
Trial:1632 | ACC:72.97
Trial:1642 | ACC:72.97
Trial:1662 | ACC:72.97
Trial:1682 | ACC:72.97
Trial:1722 | ACC:72.97
Trial:1742 | ACC:72.97
Trial:1852 | ACC:72.97
Trial:1854 | ACC:72.97
Trial:1894 | ACC:72.97
Trial:1923 | ACC:72.97
Trial:1932 | ACC:72.97
Trial:1942 | ACC:72.97
Trial:2004 | ACC:72.97
Trial:2034 | ACC:72.97
Trial:2062 | ACC:72.97
Trial:2064 | ACC:72.97
Trial:2082 | ACC:72.97
Trial:2122 | ACC:72.97
Trial:2146 | ACC:72.97
Trial:2212 | ACC:72.97
Trial:2242 | ACC:72.97
Trial:2244 | ACC:72.97
Trial:2432 | ACC:72.97
Trial:2532 | ACC:72.97
Trial:2542 | ACC:72.97
Trial:2562 | ACC:72.97
Trial:2604 | ACC:72.97
Trial:2612 | ACC:72.97
Trial:2672 | ACC:72.97
Trial:2712 | ACC:72.97
Trial:2734 | ACC:72.97
Trial:2746 | ACC:72.97
Trial:2764 | ACC:72.97
Trial:2783 | ACC:72.97
Trial:2804 | ACC:72.97
Trial:2851 | ACC:72.97
Trial:2872 | ACC:72.97
Trial:2882 | ACC:72.97
Trial:2905 | ACC:72.97
Trial:2908 | ACC:72.97
Trial:2952 | ACC:72.97
Trial:2953 | ACC:72.97
Trial:16 | ACC:70.27
Trial:32 | ACC:70.27
Trial:40 | ACC:70.27
Trial:43 | ACC:70.27
Trial:65 | ACC:70.27
Trial:72 | ACC:70.27
Trial:90 | ACC:70.27
Trial:96 | ACC:70.27
Trial:112 | ACC:70.27
Trial:134 | ACC:70.27
Trial:144 | ACC:70.27
Trial:148 | ACC:70.27
Trial:164 | ACC:70.27
Trial:176 | ACC:70.27
Trial:182 | ACC:70.27
Trial:196 | ACC:70.27
Trial:234 | ACC:70.27
Trial:254 | ACC:70.27
Trial:262 | ACC:70.27
Trial:312 | ACC:70.27
Trial:317 | ACC:70.27
Trial:342 | ACC:70.27
Trial:352 | ACC:70.27
Trial:382 | ACC:70.27
Trial:392 | ACC:70.27
Trial:396 | ACC:70.27
Trial:404 | ACC:70.27
Trial:424 | ACC:70.27
Trial:432 | ACC:70.27
Trial:436 | ACC:70.27
Trial:452 | ACC:70.27
Trial:472 | ACC:70.27
Trial:473 | ACC:70.27
Trial:512 | ACC:70.27
Trial:522 | ACC:70.27
Trial:532 | ACC:70.27
Trial:533 | ACC:70.27
Trial:544 | ACC:70.27
Trial:567 | ACC:70.27
Trial:569 | ACC:70.27
Trial:582 | ACC:70.27
Trial:602 | ACC:70.27
Trial:614 | ACC:70.27
Trial:616 | ACC:70.27
Trial:624 | ACC:70.27
Trial:644 | ACC:70.27
Trial:654 | ACC:70.27
Trial:685 | ACC:70.27
Trial:776 | ACC:70.27
Trial:804 | ACC:70.27
Trial:850 | ACC:70.27
Trial:874 | ACC:70.27
Trial:883 | ACC:70.27
Trial:912 | ACC:70.27
Trial:927 | ACC:70.27
Trial:934 | ACC:70.27
Trial:944 | ACC:70.27
Trial:952 | ACC:70.27
Trial:962 | ACC:70.27
Trial:972 | ACC:70.27
Trial:974 | ACC:70.27
Trial:982 | ACC:70.27
Trial:994 | ACC:70.27
Trial:1029 | ACC:70.27
Trial:1030 | ACC:70.27
Trial:1064 | ACC:70.27
Trial:1086 | ACC:70.27
Trial:1104 | ACC:70.27
Trial:1120 | ACC:70.27
Trial:1132 | ACC:70.27
Trial:1170 | ACC:70.27
Trial:1202 | ACC:70.27
Trial:1234 | ACC:70.27
Trial:1246 | ACC:70.27
Trial:1334 | ACC:70.27
Trial:1362 | ACC:70.27
Trial:1372 | ACC:70.27
Trial:1376 | ACC:70.27
Trial:1384 | ACC:70.27
Trial:1394 | ACC:70.27
Trial:1402 | ACC:70.27
Trial:1434 | ACC:70.27
Trial:1444 | ACC:70.27
Trial:1452 | ACC:70.27
Trial:1460 | ACC:70.27
Trial:1464 | ACC:70.27
Trial:1479 | ACC:70.27
Trial:1480 | ACC:70.27
Trial:1483 | ACC:70.27
