Namespace(alpha=0.4, beta=0.5, cl_batch_size=0, dataset='wisconsin', dropedge_rate_1=0.2, dropedge_rate_2=0.2, dropnode_rate_1=0.0, dropnode_rate_2=0.0, dropout=0.5, emb_dim=512, epochs=400, eval_freq=10, gamma=0.5, lr=0.001, maskfeat_rate_1=0.4, maskfeat_rate_2=0.4, nlayers_enc=2, nlayers_proj=2, ntrials=400, proj_dim=128, sparse=0)
[TEST] Trial:0000 | Epoch:0010 | CL loss:-0.2432 | VAL ACC:72.50 | TEST ACC:76.47
[TEST] Trial:0000 | Epoch:0020 | CL loss:-0.3407 | VAL ACC:76.25 | TEST ACC:68.63
[TEST] Trial:0000 | Epoch:0030 | CL loss:-0.4082 | VAL ACC:77.50 | TEST ACC:74.51
[TEST] Trial:0000 | Epoch:0040 | CL loss:-0.4701 | VAL ACC:68.75 | TEST ACC:76.47
[TEST] Trial:0000 | Epoch:0050 | CL loss:-0.5108 | VAL ACC:77.50 | TEST ACC:76.47
[TEST] Trial:0000 | Epoch:0060 | CL loss:-0.5572 | VAL ACC:77.50 | TEST ACC:66.67
[TEST] Trial:0000 | Epoch:0070 | CL loss:-0.5982 | VAL ACC:78.75 | TEST ACC:72.55
[TEST] Trial:0000 | Epoch:0080 | CL loss:-0.6228 | VAL ACC:71.25 | TEST ACC:78.43
[TEST] Trial:0000 | Epoch:0090 | CL loss:-0.6465 | VAL ACC:76.25 | TEST ACC:72.55
[TEST] Trial:0000 | Epoch:0100 | CL loss:-0.6774 | VAL ACC:78.75 | TEST ACC:70.59
[TEST] Trial:0000 | Epoch:0110 | CL loss:-0.6985 | VAL ACC:78.75 | TEST ACC:72.55
[TEST] Trial:0000 | Epoch:0120 | CL loss:-0.7009 | VAL ACC:77.50 | TEST ACC:78.43
[TEST] Trial:0000 | Epoch:0130 | CL loss:-0.6906 | VAL ACC:75.00 | TEST ACC:66.67
[TEST] Trial:0000 | Epoch:0140 | CL loss:-0.7254 | VAL ACC:77.50 | TEST ACC:80.39
[TEST] Trial:0000 | Epoch:0150 | CL loss:-0.7075 | VAL ACC:73.75 | TEST ACC:70.59
[TEST] Trial:0000 | Epoch:0160 | CL loss:-0.7351 | VAL ACC:76.25 | TEST ACC:74.51
[TEST] Trial:0000 | Epoch:0170 | CL loss:-0.7182 | VAL ACC:71.25 | TEST ACC:74.51
[TEST] Trial:0000 | Epoch:0180 | CL loss:-0.7138 | VAL ACC:76.25 | TEST ACC:74.51
[TEST] Trial:0000 | Epoch:0190 | CL loss:-0.7324 | VAL ACC:80.00 | TEST ACC:74.51
[TEST] Trial:0000 | Epoch:0200 | CL loss:-0.7344 | VAL ACC:75.00 | TEST ACC:72.55
[TEST] Trial:0000 | Epoch:0210 | CL loss:-0.7343 | VAL ACC:75.00 | TEST ACC:72.55
[TEST] Trial:0000 | Epoch:0220 | CL loss:-0.7365 | VAL ACC:76.25 | TEST ACC:72.55
[TEST] Trial:0000 | Epoch:0230 | CL loss:-0.7417 | VAL ACC:75.00 | TEST ACC:64.71
[TEST] Trial:0000 | Epoch:0240 | CL loss:-0.7384 | VAL ACC:75.00 | TEST ACC:74.51
[TEST] Trial:0000 | Epoch:0250 | CL loss:-0.7334 | VAL ACC:75.00 | TEST ACC:66.67
[TEST] Trial:0000 | Epoch:0260 | CL loss:-0.7382 | VAL ACC:76.25 | TEST ACC:72.55
[TEST] Trial:0000 | Epoch:0270 | CL loss:-0.7459 | VAL ACC:76.25 | TEST ACC:70.59
[TEST] Trial:0000 | Epoch:0280 | CL loss:-0.7430 | VAL ACC:76.25 | TEST ACC:70.59
[TEST] Trial:0000 | Epoch:0290 | CL loss:-0.7412 | VAL ACC:73.75 | TEST ACC:78.43
[TEST] Trial:0000 | Epoch:0300 | CL loss:-0.7446 | VAL ACC:77.50 | TEST ACC:68.63
[TEST] Trial:0000 | Epoch:0310 | CL loss:-0.7416 | VAL ACC:78.75 | TEST ACC:68.63
[TEST] Trial:0000 | Epoch:0320 | CL loss:-0.7477 | VAL ACC:78.75 | TEST ACC:72.55
[TEST] Trial:0000 | Epoch:0330 | CL loss:-0.7365 | VAL ACC:80.00 | TEST ACC:78.43
[TEST] Trial:0000 | Epoch:0340 | CL loss:-0.7333 | VAL ACC:75.00 | TEST ACC:76.47
[TEST] Trial:0000 | Epoch:0350 | CL loss:-0.7533 | VAL ACC:73.75 | TEST ACC:72.55
[TEST] Trial:0000 | Epoch:0360 | CL loss:-0.7485 | VAL ACC:75.00 | TEST ACC:70.59
[TEST] Trial:0000 | Epoch:0370 | CL loss:-0.7392 | VAL ACC:77.50 | TEST ACC:72.55
[TEST] Trial:0000 | Epoch:0380 | CL loss:-0.7518 | VAL ACC:72.50 | TEST ACC:60.78
[TEST] Trial:0000 | Epoch:0390 | CL loss:-0.7553 | VAL ACC:72.50 | TEST ACC:76.47
[TEST] Trial:0000 | Epoch:0400 | CL loss:-0.7472 | VAL ACC:73.75 | TEST ACC:66.67
