Trial:0 | ACC:80.39
Trial:1 | ACC:90.20
Trial:2 | ACC:80.39
Trial:3 | ACC:76.47
Trial:4 | ACC:82.35
Trial:5 | ACC:82.35
Trial:6 | ACC:82.35
Trial:7 | ACC:74.51
Trial:8 | ACC:74.51
Trial:9 | ACC:78.43
Trial:10 | ACC:82.35
Trial:11 | ACC:88.24
Trial:12 | ACC:80.39
Trial:13 | ACC:80.39
Trial:14 | ACC:78.43
Trial:15 | ACC:78.43
Trial:16 | ACC:86.27
Trial:17 | ACC:76.47
Trial:18 | ACC:72.55
Trial:19 | ACC:76.47
Trial:20 | ACC:82.35
Trial:21 | ACC:92.16
Trial:22 | ACC:76.47
Trial:23 | ACC:78.43
Trial:24 | ACC:80.39
Trial:25 | ACC:76.47
Trial:26 | ACC:82.35
Trial:27 | ACC:72.55
Trial:28 | ACC:82.35
Trial:29 | ACC:78.43
Trial:30 | ACC:82.35
Trial:31 | ACC:86.27
Trial:32 | ACC:76.47
Trial:33 | ACC:76.47
Trial:34 | ACC:78.43
Trial:35 | ACC:78.43
Trial:36 | ACC:78.43
Trial:37 | ACC:76.47
Trial:38 | ACC:76.47
Trial:39 | ACC:76.47
Trial:40 | ACC:82.35
Trial:41 | ACC:90.20
Trial:42 | ACC:80.39
Trial:43 | ACC:78.43
Trial:44 | ACC:78.43
Trial:45 | ACC:78.43
Trial:46 | ACC:82.35
Trial:47 | ACC:80.39
Trial:48 | ACC:76.47
Trial:49 | ACC:76.47
Trial:50 | ACC:82.35
Trial:51 | ACC:90.20
Trial:52 | ACC:76.47
Trial:53 | ACC:76.47
Trial:54 | ACC:80.39
Trial:55 | ACC:80.39
Trial:56 | ACC:84.31
Trial:57 | ACC:78.43
Trial:58 | ACC:76.47
Trial:59 | ACC:78.43
Trial:60 | ACC:78.43
Trial:61 | ACC:90.20
Trial:62 | ACC:74.51
Trial:63 | ACC:76.47
Trial:64 | ACC:84.31
Trial:65 | ACC:76.47
Trial:66 | ACC:82.35
Trial:67 | ACC:74.51
Trial:68 | ACC:74.51
Trial:69 | ACC:74.51
Trial:70 | ACC:84.31
Trial:71 | ACC:90.20
Trial:72 | ACC:80.39
Trial:73 | ACC:78.43
Trial:74 | ACC:76.47
Trial:75 | ACC:80.39
Trial:76 | ACC:80.39
Trial:77 | ACC:76.47
Trial:78 | ACC:76.47
Trial:79 | ACC:76.47
Trial:80 | ACC:80.39
Trial:81 | ACC:84.31
Trial:82 | ACC:76.47
Trial:83 | ACC:76.47
Trial:84 | ACC:82.35
Trial:85 | ACC:82.35
Trial:86 | ACC:86.27
Trial:87 | ACC:74.51
Trial:88 | ACC:74.51
Trial:89 | ACC:74.51
Trial:90 | ACC:78.43
Trial:91 | ACC:88.24
Trial:92 | ACC:74.51
Trial:93 | ACC:82.35
Trial:94 | ACC:78.43
Trial:95 | ACC:80.39
Trial:96 | ACC:82.35
Trial:97 | ACC:72.55
Trial:98 | ACC:74.51
Trial:99 | ACC:76.47
Trial:100 | ACC:78.43
Trial:101 | ACC:90.20
Trial:102 | ACC:76.47
Trial:103 | ACC:78.43
Trial:104 | ACC:80.39
Trial:105 | ACC:78.43
Trial:106 | ACC:84.31
Trial:107 | ACC:70.59
Trial:108 | ACC:74.51
Trial:109 | ACC:78.43
Trial:110 | ACC:82.35
Trial:111 | ACC:86.27
Trial:112 | ACC:78.43
Trial:113 | ACC:82.35
Trial:114 | ACC:78.43
Trial:115 | ACC:78.43
Trial:116 | ACC:82.35
Trial:117 | ACC:74.51
Trial:118 | ACC:72.55
Trial:119 | ACC:82.35
Trial:120 | ACC:80.39
Trial:121 | ACC:90.20
Trial:122 | ACC:78.43
Trial:123 | ACC:80.39
Trial:124 | ACC:84.31
Trial:125 | ACC:78.43
Trial:126 | ACC:80.39
Trial:127 | ACC:76.47
Trial:128 | ACC:74.51
Trial:129 | ACC:78.43
Trial:130 | ACC:80.39
Trial:131 | ACC:90.20
Trial:132 | ACC:76.47
Trial:133 | ACC:78.43
Trial:134 | ACC:80.39
Trial:135 | ACC:80.39
Trial:136 | ACC:82.35
Trial:137 | ACC:72.55
Trial:138 | ACC:74.51
Trial:139 | ACC:76.47
Trial:140 | ACC:82.35
Trial:141 | ACC:90.20
Trial:142 | ACC:76.47
Trial:143 | ACC:78.43
Trial:144 | ACC:82.35
Trial:145 | ACC:78.43
Trial:146 | ACC:82.35
Trial:147 | ACC:74.51
Trial:148 | ACC:74.51
Trial:149 | ACC:76.47
Trial:150 | ACC:80.39
Trial:151 | ACC:90.20
Trial:152 | ACC:74.51
Trial:153 | ACC:76.47
Trial:154 | ACC:82.35
Trial:155 | ACC:76.47
Trial:156 | ACC:86.27
Trial:157 | ACC:72.55
Trial:158 | ACC:74.51
Trial:159 | ACC:78.43
Trial:160 | ACC:80.39
Trial:161 | ACC:90.20
Trial:162 | ACC:76.47
Trial:163 | ACC:82.35
Trial:164 | ACC:84.31
Trial:165 | ACC:78.43
Trial:166 | ACC:82.35
Trial:167 | ACC:76.47
Trial:168 | ACC:72.55
Trial:169 | ACC:78.43
Trial:170 | ACC:82.35
Trial:171 | ACC:90.20
Trial:172 | ACC:78.43
Trial:173 | ACC:74.51
Trial:174 | ACC:80.39
Trial:175 | ACC:76.47
Trial:176 | ACC:80.39
Trial:177 | ACC:72.55
Trial:178 | ACC:74.51
Trial:179 | ACC:78.43
Trial:180 | ACC:78.43
Trial:181 | ACC:88.24
Trial:182 | ACC:76.47
Trial:183 | ACC:74.51
Trial:184 | ACC:80.39
Trial:185 | ACC:76.47
Trial:186 | ACC:82.35
Trial:187 | ACC:72.55
Trial:188 | ACC:74.51
Trial:189 | ACC:78.43
Trial:190 | ACC:82.35
Trial:191 | ACC:88.24
Trial:192 | ACC:76.47
Trial:193 | ACC:78.43
Trial:194 | ACC:82.35
Trial:195 | ACC:78.43
Trial:196 | ACC:78.43
Trial:197 | ACC:76.47
Trial:198 | ACC:72.55
Trial:199 | ACC:78.43
Trial:200 | ACC:80.39
Trial:201 | ACC:90.20
Trial:202 | ACC:78.43
Trial:203 | ACC:78.43
Trial:204 | ACC:80.39
Trial:205 | ACC:78.43
Trial:206 | ACC:86.27
Trial:207 | ACC:76.47
Trial:208 | ACC:76.47
Trial:209 | ACC:78.43
Trial:210 | ACC:82.35
Trial:211 | ACC:90.20
Trial:212 | ACC:78.43
Trial:213 | ACC:74.51
Trial:214 | ACC:80.39
Trial:215 | ACC:76.47
Trial:216 | ACC:82.35
Trial:217 | ACC:76.47
Trial:218 | ACC:78.43
Trial:219 | ACC:76.47
Trial:220 | ACC:78.43
Trial:221 | ACC:92.16
Trial:222 | ACC:76.47
Trial:223 | ACC:74.51
Trial:224 | ACC:82.35
Trial:225 | ACC:78.43
Trial:226 | ACC:80.39
Trial:227 | ACC:74.51
Trial:228 | ACC:74.51
Trial:229 | ACC:78.43
Trial:230 | ACC:82.35
Trial:231 | ACC:88.24
Trial:232 | ACC:76.47
Trial:233 | ACC:76.47
Trial:234 | ACC:84.31
Trial:235 | ACC:78.43
Trial:236 | ACC:82.35
Trial:237 | ACC:76.47
Trial:238 | ACC:74.51
Trial:239 | ACC:80.39
Trial:240 | ACC:80.39
Trial:241 | ACC:88.24
Trial:242 | ACC:74.51
Trial:243 | ACC:78.43
Trial:244 | ACC:76.47
Trial:245 | ACC:76.47
Trial:246 | ACC:80.39
Trial:247 | ACC:76.47
Trial:248 | ACC:72.55
Trial:249 | ACC:76.47
Trial:250 | ACC:80.39
Trial:251 | ACC:90.20
Trial:252 | ACC:78.43
Trial:253 | ACC:72.55
Trial:254 | ACC:84.31
Trial:255 | ACC:76.47
Trial:256 | ACC:84.31
Trial:257 | ACC:78.43
Trial:258 | ACC:70.59
Trial:259 | ACC:76.47
Trial:260 | ACC:80.39
Trial:261 | ACC:90.20
Trial:262 | ACC:78.43
Trial:263 | ACC:78.43
Trial:264 | ACC:82.35
Trial:265 | ACC:78.43
Trial:266 | ACC:80.39
Trial:267 | ACC:74.51
Trial:268 | ACC:74.51
Trial:269 | ACC:76.47
